Sloan Digital Sky Survey filter set for DIAFI,,,,,
889.5,0.005070,0.000678,0.006294,0.004455,95.884422
889.0,0.004624,0.000091,0.005935,0.003631,95.807358
888.5,0.004412,0.000140,0.006325,0.004493,95.913109
888.0,0.004765,0.000473,0.006988,0.004173,95.876030
887.5,0.005114,0.000216,0.006754,0.004393,95.812401
887.0,0.005386,0.000625,0.006656,0.005086,95.913055
886.5,0.005716,0.000345,0.007288,0.004873,95.887512
886.0,0.006101,0.000395,0.007070,0.004671,95.913033
885.5,0.005647,0.000230,0.007337,0.004652,95.834511
885.0,0.005493,0.000228,0.007265,0.005220,95.901550
884.5,0.006712,0.000324,0.007700,0.005800,95.785049
884.0,0.006809,0.000169,0.008681,0.005681,95.840279
883.5,0.006897,0.000367,0.008137,0.006648,95.804962
883.0,0.006865,0.000104,0.008287,0.006474,95.856705
882.5,0.006948,0.000348,0.008515,0.007016,95.838310
882.0,0.007358,0.000227,0.009006,0.006945,95.871010
881.5,0.007568,0.000048,0.009189,0.007215,95.763229
881.0,0.008727,0.000276,0.009908,0.008115,95.742439
880.5,0.008656,0.000260,0.009376,0.008397,95.690941
880.0,0.009045,0.000287,0.009711,0.009002,95.658653
879.5,0.008958,0.000366,0.009787,0.009380,95.735809
879.0,0.009488,0.000456,0.010427,0.009865,95.694145
878.5,0.010098,0.000106,0.010591,0.010422,95.592979
878.0,0.010084,0.000160,0.010392,0.010996,95.567566
877.5,0.010042,0.000355,0.010293,0.011626,95.630234
877.0,0.010662,0.000074,0.010686,0.012130,95.610748
876.5,0.011066,0.000382,0.010625,0.013235,95.570374
876.0,0.011288,0.000159,0.010712,0.013942,95.532913
875.5,0.011711,0.000371,0.011619,0.014574,95.553833
875.0,0.011787,0.000211,0.010277,0.015691,95.498909
874.5,0.012039,0.000355,0.010372,0.016326,95.458809
874.0,0.012146,0.000078,0.010964,0.017723,95.457886
873.5,0.012340,0.000056,0.010622,0.018969,95.404816
873.0,0.012625,0.000241,0.010935,0.020140,95.455963
872.5,0.012275,0.000191,0.009732,0.021234,95.426559
872.0,0.012742,0.000180,0.010330,0.022863,95.407059
871.5,0.011986,0.000094,0.009714,0.024107,95.393921
871.0,0.012455,0.000141,0.010214,0.025701,95.396301
870.5,0.012011,0.000095,0.009817,0.027165,95.374901
870.0,0.011735,0.000164,0.010072,0.029637,95.392639
869.5,0.011893,0.000129,0.009206,0.031472,95.423950
869.0,0.011582,0.000203,0.009353,0.033293,95.392525
868.5,0.011156,0.000261,0.009772,0.036764,95.367050
868.0,0.010891,0.000120,0.009207,0.039366,95.372696
867.5,0.010812,0.000235,0.009358,0.042338,95.405670
867.0,0.010387,0.000108,0.009614,0.045037,95.375832
866.5,0.010069,0.000321,0.009264,0.048598,95.410545
866.0,0.009570,0.000240,0.009050,0.052151,95.459076
865.5,0.009350,0.000104,0.008402,0.056592,95.442497
865.0,0.009108,0.000285,0.008984,0.060999,95.553520
864.5,0.008782,0.000061,0.009068,0.065896,95.478348
864.0,0.008597,0.000280,0.008959,0.071003,95.519547
863.5,0.007792,0.000216,0.008523,0.076894,95.543762
863.0,0.008054,0.000249,0.008675,0.083931,95.625389
862.5,0.007646,0.000286,0.008429,0.090128,95.631981
862.0,0.007693,0.000187,0.008412,0.097290,95.600494
861.5,0.007310,0.000358,0.008483,0.106373,95.631393
861.0,0.006993,0.000223,0.008640,0.114336,95.652519
860.5,0.007202,0.000378,0.008520,0.124641,95.676605
860.0,0.006767,0.000268,0.008393,0.136118,95.735092
859.5,0.006459,0.000162,0.008340,0.148100,95.742744
859.0,0.006314,0.000358,0.007319,0.161931,95.826813
858.5,0.006452,0.000288,0.007942,0.177248,95.807793
858.0,0.006115,0.000450,0.007861,0.192585,95.850494
857.5,0.005857,0.000159,0.007876,0.211305,95.850388
857.0,0.005900,0.000292,0.008180,0.230711,95.873283
856.5,0.006114,0.000504,0.008370,0.253398,95.845284
856.0,0.005685,0.000295,0.008155,0.277669,95.906227
855.5,0.005734,0.000456,0.008022,0.304941,95.923798
855.0,0.005650,0.000217,0.007732,0.335762,95.892944
854.5,0.005486,0.000408,0.007382,0.369763,95.888992
854.0,0.005636,0.000454,0.007544,0.407388,95.883781
853.5,0.005416,0.000341,0.007119,0.449520,95.894554
853.0,0.005554,0.000319,0.007282,0.496579,95.861549
852.5,0.005323,0.000444,0.008046,0.549774,95.845551
852.0,0.005390,0.000400,0.007306,0.610384,95.854652
851.5,0.005658,0.000529,0.007519,0.675739,95.853600
851.0,0.005533,0.000367,0.006966,0.751902,95.803291
850.5,0.005627,0.000463,0.007549,0.834420,95.771317
850.0,0.005793,0.000554,0.007367,0.932260,95.758591
849.5,0.005790,0.000533,0.003395,1.040288,95.727188
849.0,0.005891,0.000339,0.004016,1.160567,95.696396
848.5,0.006058,0.000580,0.003860,1.300432,95.617203
848.0,0.006080,0.000314,0.003813,1.458250,95.553871
847.5,0.006478,0.000348,0.003880,1.636702,95.509178
847.0,0.006406,0.000380,0.003717,1.839779,95.393074
846.5,0.006738,0.000302,0.003718,2.076557,95.250404
846.0,0.007018,0.000381,0.003823,2.345312,95.102264
845.5,0.007175,0.000179,0.003740,2.642525,94.863533
845.0,0.007508,0.000269,0.003682,2.992980,94.571190
844.5,0.008072,0.000351,0.003575,3.392498,94.184631
844.0,0.008317,0.000146,0.003648,3.840235,93.682617
843.5,0.008770,0.000243,0.003550,4.369710,93.092056
843.0,0.009575,0.000254,0.004060,4.978654,92.299599
842.5,0.009975,0.000234,0.003418,5.673043,91.336800
842.0,0.010630,0.000175,0.003583,6.460410,90.175827
841.5,0.011853,0.000202,0.003517,7.379891,88.715279
841.0,0.012408,0.000088,0.003583,8.435946,87.015259
840.5,0.013568,0.000101,0.003403,9.650329,84.970581
840.0,0.015266,0.000213,0.003505,11.065734,82.589188
839.5,0.016707,0.000089,0.003546,12.655741,79.860725
839.0,0.018553,0.000119,0.003379,14.453420,76.850647
838.5,0.021136,0.000212,0.003305,16.557362,73.454704
838.0,0.023462,0.000145,0.003501,18.892437,69.765816
837.5,0.026714,0.000065,0.003202,21.520256,65.865082
837.0,0.030449,0.000164,0.003379,24.488749,61.710632
836.5,0.034168,0.000248,0.003244,27.794228,57.378231
836.0,0.037696,0.000112,0.003301,31.382788,53.014576
835.5,0.040968,0.000004,0.003163,35.280018,48.668568
835.0,0.043935,0.000203,0.003189,39.461060,44.414394
834.5,0.044883,-0.000004,0.003257,43.866814,40.248554
834.0,0.044382,0.000070,0.002372,48.428856,36.315620
833.5,0.042550,0.000131,0.003292,53.168659,32.532829
833.0,0.039066,0.000311,0.003083,57.865196,29.040169
832.5,0.034747,0.000073,0.003140,62.406158,25.849491
832.0,0.030122,0.000106,0.003408,66.850174,22.901571
831.5,0.025538,0.000048,0.003037,71.022507,20.218819
831.0,0.021467,0.000151,0.003099,74.806000,17.838945
830.5,0.018218,0.000269,0.003034,78.272972,15.690722
830.0,0.014849,0.000132,0.003018,81.325912,13.769989
829.5,0.012715,-0.000039,0.003244,83.939705,12.090620
829.0,0.010767,0.000092,0.003131,86.138641,10.612219
828.5,0.009300,0.000190,0.003052,87.988853,9.313929
828.0,0.007615,0.000085,0.003051,89.453957,8.173565
827.5,0.006637,0.000088,0.003036,90.647903,7.177559
827.0,0.005816,0.000033,0.003172,91.588898,6.284372
826.5,0.005083,0.000037,0.003093,92.305412,5.513309
826.0,0.004327,0.000037,0.002936,92.811035,4.851618
825.5,0.003953,0.000238,0.003051,93.224991,4.267758
825.0,0.003371,-0.000029,0.003000,93.492577,3.753703
824.5,0.002901,0.000018,0.002912,93.678154,3.308203
824.0,0.002686,0.000176,0.002945,93.849953,2.914990
823.5,0.002419,0.000082,0.003018,93.947441,2.572906
823.0,0.002167,0.000082,0.003015,94.005310,2.274175
822.5,0.001907,0.000044,0.002973,94.057846,2.013758
822.0,0.001932,0.000265,0.002956,94.098656,1.782075
821.5,0.001638,0.000178,0.003008,94.129486,1.580882
821.0,0.001455,0.000175,0.002935,94.158607,1.406205
820.5,0.001428,0.000184,0.002922,94.175072,1.246296
820.0,0.001197,0.000127,0.003041,94.197929,1.109372
819.5,0.001065,0.000182,0.003022,94.223236,0.989326
819.0,0.001089,0.000055,0.003118,94.276848,0.883640
818.5,0.000955,0.000152,0.002940,94.309677,0.788189
818.0,0.000908,0.000288,0.002918,94.329521,0.705066
817.5,0.000965,0.000385,0.002978,94.373940,0.631329
817.0,0.000859,0.000285,0.002947,94.402275,0.564738
816.5,0.000757,0.000322,0.002846,94.422707,0.507129
816.0,0.000641,0.000316,0.003050,94.405533,0.455511
815.5,0.000768,0.000451,0.003037,94.419785,0.409052
815.0,0.000632,0.000430,0.002947,94.416580,0.368225
814.5,0.000550,0.000337,0.003044,94.419525,0.332018
814.0,0.000489,0.000560,0.003032,94.404137,0.298962
813.5,0.000488,0.000475,0.002981,94.406654,0.269461
813.0,0.000488,0.000566,0.003046,94.377525,0.243333
812.5,0.000350,0.000523,0.003015,94.346375,0.220399
812.0,0.000462,0.000395,0.003015,94.321701,0.199391
811.5,0.000333,0.000365,0.003007,94.267891,0.180447
811.0,0.000526,0.000592,0.003100,94.215889,0.163240
810.5,0.000308,0.000352,0.003050,94.177887,0.148312
810.0,0.000388,0.000364,0.003014,94.125832,0.134723
809.5,0.000241,0.000119,0.002971,94.066460,0.122481
809.0,0.000372,0.000179,0.002862,94.009110,0.111116
808.5,0.000146,0.000170,0.003038,93.953575,0.101160
808.0,0.000223,0.000006,0.002968,93.889282,0.092250
807.5,0.000168,0.000254,0.003031,93.848335,0.083952
807.0,0.000337,0.000191,0.003034,93.804581,0.076614
806.5,0.000162,0.000102,0.003113,93.738052,0.070168
806.0,0.000040,0.000125,0.003115,93.677826,0.064097
805.5,0.000226,0.000113,0.003200,93.636459,0.058431
805.0,0.000118,0.000071,0.003165,93.605232,0.053665
804.5,0.000283,0.000040,0.003190,93.567474,0.049024
804.0,0.000204,-0.000036,0.003201,93.527428,0.044913
803.5,0.000218,0.000096,0.003232,93.501747,0.041303
803.0,0.000138,-0.000040,0.003204,93.443794,0.037729
802.5,0.000211,0.000022,0.003250,93.433502,0.034688
802.0,0.000164,-0.000065,0.003273,93.416565,0.031840
801.5,0.000142,-0.000002,0.003274,93.384659,0.029264
801.0,0.000086,0.000016,0.003249,93.354187,0.026783
800.5,0.000055,0.000004,0.003319,93.364159,0.024836
800.0,0.000235,-0.000047,0.003347,93.348679,0.022763
799.5,0.000056,-0.000104,0.003336,93.331070,0.021135
799.0,0.000185,0.000114,0.003376,93.339996,0.019436
798.5,0.000200,-0.000092,0.003429,93.340561,0.017904
798.0,0.000137,0.000095,0.003412,93.347961,0.016463
797.5,0.000184,-0.000049,0.003410,93.340485,0.015345
797.0,0.000206,-0.000005,0.003548,93.336128,0.014143
796.5,0.000069,0.000010,0.003483,93.346664,0.012994
796.0,0.000075,0.000027,0.003568,93.361839,0.011928
795.5,0.000150,-0.000012,0.003575,93.388977,0.011238
795.0,0.000261,0.000089,0.003704,93.395882,0.010363
794.5,0.000080,0.000036,0.003646,93.413742,0.009713
794.0,0.000267,-0.000003,0.003645,93.433937,0.008907
793.5,0.000140,0.000008,0.003750,93.439308,0.008198
793.0,0.000082,-0.000011,0.003616,93.464020,0.007693
792.5,0.000081,0.000049,0.003769,93.487564,0.007304
792.0,0.000114,-0.000070,0.003910,93.512764,0.006676
791.5,0.000134,-0.000019,0.004019,93.550751,0.006163
791.0,0.000140,0.000022,0.003897,93.566986,0.005826
790.5,0.000153,0.000080,0.003788,93.594109,0.005528
790.0,0.000123,-0.000061,0.003746,93.633026,0.005033
789.5,0.000091,0.000008,0.003950,93.659439,0.004598
789.0,0.000069,-0.000125,0.003660,93.691025,0.004325
788.5,0.000145,-0.000016,0.004138,93.741570,0.004021
788.0,0.000046,0.000015,0.004172,93.773041,0.003729
787.5,0.000152,-0.000003,0.004215,93.790642,0.003483
787.0,0.000090,-0.000048,0.004209,93.846062,0.003353
786.5,0.000044,-0.000002,0.004316,93.877350,0.003183
786.0,0.000240,0.000149,0.004246,93.935814,0.002815
785.5,0.000066,-0.000052,0.004229,93.953896,0.002666
785.0,0.000021,-0.000020,0.004337,93.999245,0.002515
784.5,0.000092,0.000106,0.004410,94.033363,0.002428
784.0,0.000138,0.000045,0.004484,94.065460,0.002189
783.5,0.000004,0.000008,0.004608,94.132004,0.002112
783.0,0.000202,-0.000045,0.004894,94.161919,0.001918
782.5,0.000034,0.000007,0.004687,94.203934,0.001953
782.0,0.000391,0.000184,0.004817,94.241890,0.001868
781.5,0.000029,0.000101,0.004813,94.287064,0.001572
781.0,0.000051,-0.000005,0.004878,94.318802,0.001615
780.5,0.000106,-0.000044,0.004891,94.339523,0.001448
780.0,0.000111,0.000091,0.004973,94.382172,0.001341
779.5,0.000038,0.000002,0.005118,94.423523,0.001290
779.0,0.000068,0.000016,0.005184,94.444138,0.001101
778.5,0.000048,0.000011,0.005217,94.456528,0.001134
778.0,0.000081,0.000017,0.005268,94.516495,0.001019
777.5,0.000040,-0.000118,0.005357,94.525932,0.000916
777.0,0.000152,0.000036,0.005442,94.541084,0.000870
776.5,0.000110,-0.000103,0.005539,94.550514,0.000844
776.0,0.000041,-0.000098,0.005559,94.547966,0.000731
775.5,-0.000032,-0.000035,0.005869,94.561768,0.000704
775.0,0.000050,-0.000071,0.005780,94.568436,0.000709
774.5,0.000181,0.000122,0.005969,94.578896,0.000795
774.0,0.000062,-0.000048,0.005895,94.563644,0.000662
773.5,0.000156,-0.000003,0.006038,94.559692,0.000680
773.0,0.000005,0.000022,0.006153,94.543076,0.000475
772.5,0.000106,0.000039,0.006382,94.540199,0.000556
772.0,0.000102,0.000074,0.006332,94.527634,0.000476
771.5,0.000063,0.000024,0.006657,94.511993,0.000483
771.0,0.000074,0.000059,0.006644,94.487000,0.000499
770.5,0.000181,0.000060,0.006707,94.459000,0.000463
770.0,0.000028,-0.000007,0.006952,94.435898,0.000427
769.5,0.000029,0.000008,0.007042,94.412399,0.000406
769.0,-0.000008,0.000051,0.007097,94.379921,0.000480
768.5,0.000150,-0.000128,0.007296,94.360336,0.000358
768.0,0.000090,0.000049,0.007580,94.318573,0.000402
767.5,0.000049,-0.000068,0.007646,94.280533,0.000387
767.0,0.000093,-0.000042,0.007783,94.253609,0.000465
766.5,0.000144,0.000065,0.007770,94.234367,0.000272
766.0,0.000041,0.000078,0.008162,94.199104,0.000340
765.5,0.000045,-0.000045,0.008147,94.169106,0.000233
765.0,0.000013,0.000013,0.008444,94.141975,0.000288
764.5,0.000068,0.000054,0.008590,94.114288,0.000226
764.0,0.000130,-0.000077,0.008931,94.103691,0.000036
763.5,0.000055,-0.000137,0.009027,94.068832,0.000171
763.0,0.000146,0.000194,0.009082,94.063690,0.000186
762.5,0.000118,-0.000033,0.009358,94.027328,0.000079
762.0,0.000057,-0.000010,0.009633,94.022888,0.000158
761.5,0.000109,0.000055,0.009856,93.995781,0.000146
761.0,0.000118,-0.000024,0.010108,93.997879,0.000126
760.5,-0.000083,-0.000027,0.010398,93.991798,0.000188
760.0,0.000077,-0.000139,0.010409,93.972763,0.000143
759.5,0.000053,0.000061,0.010703,93.998543,0.000134
759.0,0.000014,0.000010,0.010976,93.988716,0.000111
758.5,0.000008,0.000112,0.011265,93.984489,0.000107
758.0,0.000055,0.000074,0.011532,93.988838,0.000120
757.5,0.000039,-0.000109,0.011827,93.990967,0.000096
757.0,0.000051,0.000012,0.012278,94.002594,0.000128
756.5,0.000084,0.000012,0.012413,94.008224,0.000118
756.0,0.000128,0.000034,0.012747,94.031105,0.000011
755.5,0.000096,0.000038,0.013094,94.032791,0.000083
755.0,0.000074,0.000007,0.013319,94.048157,0.000078
754.5,-0.000032,0.000100,0.013848,94.064537,0.000095
754.0,0.000061,-0.000050,0.014336,94.075935,0.000009
753.5,0.000061,0.000005,0.014705,94.094559,0.000106
753.0,0.000171,0.000138,0.015022,94.105591,0.000156
752.5,0.000207,-0.000108,0.015360,94.123001,0.000144
752.0,0.000092,0.000048,0.015865,94.137466,-0.000019
751.5,0.000098,-0.000064,0.016397,94.139496,0.000131
751.0,0.000070,-0.000023,0.016800,94.145981,0.000040
750.5,0.000018,0.000014,0.017390,94.149231,0.000003
750.0,0.000155,-0.000150,0.017912,94.146606,0.000028
749.5,0.000120,-0.000066,0.018386,94.181999,0.000062
749.0,0.000098,-0.000019,0.018967,94.159706,-0.000061
748.5,0.000064,0.000018,0.019560,94.139633,0.000070
748.0,0.000064,-0.000037,0.020171,94.135811,-0.000010
747.5,0.000072,-0.000140,0.020864,94.127075,-0.000052
747.0,0.000003,-0.000017,0.021387,94.099548,0.000002
746.5,0.000132,0.000002,0.022033,94.084351,0.000181
746.0,0.000149,-0.000029,0.022789,94.040596,0.000024
745.5,0.000176,-0.000092,0.023534,94.027870,-0.000062
745.0,0.000079,-0.000022,0.024379,93.985527,0.000113
744.5,0.000023,-0.000007,0.025233,93.949776,0.000042
744.0,0.000120,-0.000070,0.026232,93.901230,-0.000030
743.5,0.000278,0.000052,0.026860,93.853401,0.000101
743.0,0.000097,0.000094,0.027839,93.800827,0.000046
742.5,0.000069,-0.000007,0.028850,93.742920,-0.000052
742.0,0.000032,-0.000021,0.029861,93.689407,0.000114
741.5,0.000174,0.000006,0.030872,93.627960,0.000001
741.0,-0.000027,0.000057,0.031962,93.557808,0.000023
740.5,0.000071,-0.000061,0.033279,93.481354,-0.000004
740.0,0.000219,0.000017,0.034474,93.431953,-0.000064
739.5,0.000056,0.000050,0.035877,93.328201,0.000032
739.0,0.000106,-0.000010,0.037249,93.252808,-0.000033
738.5,0.000077,-0.000002,0.038779,93.166489,-0.000009
738.0,0.000079,-0.000082,0.040149,93.089317,-0.000037
737.5,0.000162,0.000082,0.041594,92.999748,0.000102
737.0,0.000118,-0.000086,0.043443,92.900230,-0.000067
736.5,0.000083,0.000052,0.045081,92.813202,-0.000076
736.0,0.000117,-0.000045,0.046926,92.716560,-0.000083
735.5,0.000108,0.000057,0.049031,92.617760,-0.000083
735.0,0.000176,-0.000069,0.051045,92.529251,-0.000047
734.5,0.000213,0.000145,0.053003,92.424217,-0.000007
734.0,0.000114,0.000005,0.055227,92.315537,-0.000088
733.5,0.000157,0.000033,0.057512,92.203712,-0.000060
733.0,0.000185,0.000021,0.059827,92.102348,-0.000107
732.5,0.000140,0.000030,0.062933,91.988823,-0.000059
732.0,0.000181,0.000024,0.065585,91.879097,0.000170
731.5,0.000187,0.000137,0.068320,91.749245,0.000129
731.0,-0.000031,0.000026,0.071614,91.629425,0.000039
730.5,0.000138,-0.000007,0.074720,91.510765,0.000006
730.0,0.000158,0.000032,0.078020,91.380287,-0.000057
729.5,0.000169,0.000023,0.081764,91.254486,0.000006
729.0,0.000144,0.000167,0.085759,91.112671,0.000138
728.5,0.000141,0.000012,0.089661,90.968826,0.000079
728.0,0.000165,0.000031,0.093823,90.814850,0.000019
727.5,0.000079,0.000010,0.098482,90.667709,-0.000007
727.0,0.000136,0.000027,0.103382,90.503616,-0.000019
726.5,0.000204,0.000020,0.108384,90.334816,-0.000021
726.0,0.000257,0.000055,0.113858,90.181526,0.000109
725.5,0.000205,-0.000023,0.119699,89.988312,0.000024
725.0,0.000076,-0.000039,0.125666,89.770821,0.000026
724.5,0.000163,-0.000093,0.132353,89.571907,0.000032
724.0,0.000282,-0.000034,0.139102,89.370087,0.000064
723.5,0.000235,0.000054,0.146612,89.157204,0.000003
723.0,0.000250,-0.000040,0.154252,88.919006,0.000010
722.5,0.000229,-0.000007,0.162905,88.659706,-0.000021
722.0,0.000244,-0.000085,0.172066,88.400200,-0.000023
721.5,0.000182,-0.000022,0.181150,88.129112,0.000030
721.0,0.000117,0.000033,0.191298,87.846985,-0.000034
720.5,0.000173,-0.000131,0.202243,87.556099,0.000008
720.0,0.000169,0.000017,0.213729,87.245659,-0.000098
719.5,0.000206,0.000056,0.226254,86.898827,-0.000044
719.0,0.000254,0.000034,0.239922,86.562698,-0.000017
718.5,0.000289,0.000139,0.253461,86.201096,0.000010
718.0,0.000227,-0.000146,0.268968,85.816681,-0.000044
717.5,0.000141,-0.000042,0.285181,85.422127,0.000003
717.0,0.000175,-0.000080,0.302491,85.010803,0.000040
716.5,0.000195,0.000038,0.321574,84.584984,0.000015
716.0,0.000202,0.000157,0.341693,84.143295,0.000128
715.5,0.000228,0.000050,0.363390,83.647621,0.000047
715.0,0.000303,0.000104,0.386579,83.153984,-0.000045
714.5,0.000191,-0.000023,0.412311,82.643600,0.000059
714.0,0.000117,-0.000042,0.438868,82.111069,0.000092
713.5,0.000314,0.000072,0.467968,81.553360,0.000026
713.0,0.000238,0.000051,0.499897,80.964218,0.000084
712.5,0.000360,0.000001,0.534262,80.364265,0.000078
712.0,0.000345,-0.000015,0.570507,79.728485,-0.000003
711.5,0.000291,0.000088,0.609933,79.083672,0.000038
711.0,0.000224,-0.000009,0.653033,78.402153,-0.000002
710.5,0.000131,0.000049,0.699282,77.701553,-0.000043
710.0,0.000284,-0.000057,0.750484,76.968155,0.000014
709.5,0.000342,0.000020,0.805371,76.207275,-0.000001
709.0,0.000412,0.000005,0.864588,75.429131,0.000064
708.5,0.000270,0.000103,0.928097,74.623993,0.000006
708.0,0.000306,-0.000072,0.999706,73.773666,-0.000003
707.5,0.000215,-0.000034,1.076300,72.906235,-0.000015
707.0,0.000429,0.000081,1.157804,72.008980,0.000097
706.5,0.000283,-0.000072,1.250183,71.064255,-0.000067
706.0,0.000467,0.000001,1.350133,70.096161,-0.000008
705.5,0.000291,-0.000014,1.457843,69.098801,-0.000041
705.0,0.000368,0.000052,1.575692,68.076584,-0.000041
704.5,0.000495,0.000117,1.704119,67.014854,0.000051
704.0,0.000287,-0.000045,1.845868,65.912056,-0.000116
703.5,0.000275,-0.000071,2.001783,64.798203,-0.000092
703.0,0.000294,0.000010,2.173661,63.615799,-0.000002
702.5,0.000361,0.000045,2.361200,62.406899,-0.000061
702.0,0.000349,0.000111,2.564336,61.198425,0.000048
701.5,0.000322,-0.000028,2.792040,59.926079,0.000111
701.0,0.000366,-0.000104,3.040526,58.636017,-0.000071
700.5,0.000394,-0.000001,3.310804,57.298290,0.000021
700.0,0.000482,0.000094,3.617968,55.939503,0.000065
699.5,0.000320,-0.000029,3.954196,54.539680,0.000069
699.0,0.000371,0.000019,4.318454,53.118927,0.000038
698.5,0.000362,-0.000022,4.728103,51.694405,-0.000049
698.0,0.000432,0.000103,5.178410,50.202679,0.000148
697.5,0.000335,-0.000057,5.679853,48.693199,-0.000102
697.0,0.000404,0.000033,6.237505,47.204296,-0.000002
696.5,0.000400,-0.000035,6.859690,45.633801,-0.000091
696.0,0.000420,-0.000005,7.543401,44.065990,0.000099
695.5,0.000452,0.000073,8.291304,42.501087,-0.000008
695.0,0.000276,-0.000105,9.137980,40.904522,-0.000143
694.5,0.000334,-0.000069,10.074638,39.309753,-0.000024
694.0,0.000497,-0.000061,11.081573,37.696362,-0.000251
693.5,0.000459,-0.000059,12.241013,36.102257,0.000001
693.0,0.000481,-0.000024,13.508844,34.477520,-0.000011
692.5,0.000353,0.000022,14.880445,32.865307,-0.000005
692.0,0.000411,-0.000072,16.417635,31.303719,-0.000104
691.5,0.000486,-0.000049,18.092920,29.705996,-0.000068
691.0,0.000278,-0.000092,19.941435,28.145102,-0.000003
690.5,0.000304,-0.000035,21.974056,26.629595,0.000052
690.0,0.000359,-0.000002,24.191793,25.090944,0.000002
689.5,0.000503,0.000045,26.578197,23.597181,-0.000009
689.0,0.000433,0.000006,29.108276,22.160620,0.000007
688.5,0.000383,-0.000027,31.915020,20.739109,0.000010
688.0,0.000473,-0.000057,34.858215,19.375910,-0.000006
687.5,0.000412,0.000103,37.923576,18.037289,0.000002
687.0,0.000479,-0.000043,41.236771,16.739897,-0.000054
686.5,0.000399,0.000050,44.669991,15.486050,0.000032
686.0,0.000372,0.000008,48.124744,14.300330,0.000046
685.5,0.000428,-0.000067,51.729183,13.173923,-0.000011
685.0,0.000513,0.000092,55.330910,12.079884,0.000046
684.5,0.000357,0.000037,58.941345,11.044855,0.000023
684.0,0.000413,-0.000057,62.517303,10.085762,-0.000001
683.5,0.000445,-0.000034,66.037285,9.155807,0.000016
683.0,0.000491,0.000032,69.344742,8.287200,0.000106
682.5,0.000396,-0.000028,72.482742,7.489318,-0.000062
682.0,0.000373,-0.000097,75.489708,6.742509,-0.000096
681.5,0.000392,0.000015,78.234955,6.047345,-0.000112
681.0,0.000412,0.000022,80.698257,5.407403,-0.000089
680.5,0.000500,-0.000054,82.971687,4.820401,-0.000098
680.0,0.000464,-0.000020,84.971016,4.273504,-0.000044
679.5,0.000437,0.000048,86.695694,3.779657,-0.000054
679.0,0.000424,-0.000010,88.180389,3.340467,-0.000093
