Sloan Digital Sky Survey filter set for DIAFI,,,,,
678.5,0.000372,-0.000064,89.457581,2.933844,0.000030
678.0,0.000479,-0.000005,90.522896,2.567666,0.000031
677.5,0.000221,-0.000146,91.402397,2.244003,-0.000030
677.0,0.000383,-0.000024,92.110359,1.949714,-0.000024
676.5,0.000266,-0.000126,92.677895,1.688949,0.000017
676.0,0.000377,-0.000018,93.109154,1.458923,-0.000100
675.5,0.000415,0.000037,93.455902,1.255903,0.000008
675.0,0.000205,-0.000059,93.724251,1.077371,-0.000034
674.5,0.000180,-0.000068,93.903366,0.920747,-0.000065
674.0,0.000140,-0.000031,94.035553,0.783959,-0.000027
673.5,0.000337,-0.000010,94.138260,0.664299,-0.000026
673.0,0.000196,-0.000055,94.201599,0.561965,0.000029
672.5,0.000250,0.000102,94.246582,0.475319,-0.000066
672.0,0.000225,-0.000021,94.268913,0.398624,-0.000077
671.5,0.000235,0.000070,94.277191,0.334188,-0.000027
671.0,0.000214,-0.000071,94.287865,0.279694,-0.000018
670.5,0.000264,0.000064,94.285759,0.232739,-0.000027
670.0,0.000219,0.000015,94.295410,0.193191,0.000075
669.5,0.000298,0.000085,94.289444,0.160239,0.000037
669.0,0.000227,0.000099,94.293800,0.132315,-0.000026
668.5,0.000211,0.000025,94.306305,0.109074,0.000051
668.0,0.000181,0.000013,94.306549,0.089665,-0.000061
667.5,0.000148,-0.000060,94.325813,0.073657,-0.000049
667.0,0.000227,-0.000016,94.358826,0.059941,-0.000032
666.5,0.000156,0.000032,94.386284,0.049062,-0.000006
666.0,0.000061,-0.000023,94.420471,0.040016,-0.000005
665.5,0.000234,-0.000033,94.455246,0.032481,-0.000020
665.0,0.000157,-0.000070,94.499603,0.026375,-0.000054
664.5,0.000151,-0.000043,94.544373,0.021376,-0.000009
664.0,0.000140,0.000007,94.580444,0.017297,-0.000107
663.5,0.000028,-0.000078,94.616020,0.013991,0.000058
663.0,0.000136,-0.000097,94.638191,0.011244,0.000102
662.5,0.000052,-0.000061,94.658524,0.008978,-0.000088
662.0,-0.000029,0.000012,94.672798,0.007267,-0.000054
661.5,0.000070,-0.000032,94.677612,0.005841,-0.000067
661.0,0.000001,-0.000021,94.683670,0.004738,-0.000048
660.5,0.000037,0.000074,94.683151,0.003772,-0.000045
660.0,-0.000007,0.000027,94.682564,0.003022,-0.000058
659.5,-0.000066,-0.000024,94.663727,0.002512,-0.000070
659.0,-0.000083,0.000056,94.638313,0.001821,-0.000040
658.5,-0.000020,-0.000048,94.618919,0.001522,-0.000060
658.0,0.000027,-0.000069,94.583794,0.001228,-0.000027
657.5,-0.000053,0.000023,94.543152,0.001045,-0.000008
657.0,0.000018,0.000083,94.494209,0.000853,0.000052
656.5,0.000064,-0.000011,94.437309,0.000623,-0.000096
656.0,0.000086,-0.000075,94.382980,0.000466,0.000014
655.5,0.000056,-0.000017,94.326103,0.000433,-0.000061
655.0,-0.000142,0.000044,94.265648,0.000333,-0.000001
654.5,-0.000009,-0.000012,94.187408,0.000326,-0.000045
654.0,0.000070,0.000009,94.115486,0.000256,-0.000030
653.5,0.000012,-0.000010,94.047127,0.000201,-0.000008
653.0,-0.000086,-0.000012,93.976997,0.000039,0.000000
652.5,0.000132,-0.000001,93.918457,0.000018,-0.000050
652.0,-0.000027,-0.000093,93.847878,0.000003,-0.000028
651.5,0.000030,-0.000083,93.782738,0.000050,-0.000034
651.0,0.000055,0.000086,93.721779,0.000044,-0.000067
650.5,-0.000001,0.000103,93.654511,0.000145,0.000002
650.0,-0.000040,-0.000016,93.596825,-0.000037,-0.000067
649.5,-0.000074,-0.000129,93.545738,-0.000004,-0.000075
649.0,-0.000148,-0.000043,93.498016,-0.000060,-0.000009
648.5,-0.000092,0.000034,93.450584,-0.000079,-0.000050
648.0,0.000023,0.000005,93.405090,0.000043,-0.000023
647.5,0.000003,0.000064,93.381287,0.000041,0.000034
647.0,0.000012,0.000038,93.364807,-0.000021,0.000018
646.5,0.000056,-0.000042,93.351128,-0.000014,0.000036
646.0,-0.000064,0.000015,93.355392,0.000109,-0.000078
645.5,-0.000012,0.000004,93.357162,-0.000017,-0.000090
645.0,-0.000014,-0.000066,93.368965,0.000033,-0.000078
644.5,-0.000052,-0.000047,93.383316,0.000060,-0.000013
644.0,-0.000002,0.000043,93.415367,0.000018,-0.000031
643.5,0.000110,0.000131,93.439804,0.000010,0.000050
643.0,0.000001,0.000086,93.463234,0.000085,-0.000046
642.5,0.000017,0.000020,93.497551,-0.000017,0.000020
642.0,-0.000057,0.000135,93.534531,0.000094,-0.000029
641.5,-0.000041,0.000055,93.585800,-0.000052,0.000036
641.0,0.000044,-0.000009,93.638977,-0.000077,-0.000052
640.5,-0.000038,0.000197,93.711586,-0.000022,0.000049
640.0,-0.000018,-0.000029,93.778580,-0.000089,-0.000083
639.5,0.000083,0.000116,93.847672,0.000027,-0.000079
639.0,0.000033,-0.000004,93.930641,-0.000080,-0.000031
638.5,0.000011,0.000099,94.018570,-0.000035,-0.000013
638.0,-0.000064,-0.000024,94.103745,0.000045,-0.000006
637.5,-0.000024,0.000064,94.183907,0.000026,-0.000076
637.0,0.000025,0.000152,94.260231,0.000160,0.000007
636.5,0.000027,0.000054,94.335846,-0.000075,-0.000085
636.0,-0.000107,0.000060,94.405785,-0.000125,-0.000159
635.5,-0.000128,0.000157,94.479866,-0.000045,-0.000072
635.0,-0.000028,0.000130,94.561020,-0.000039,-0.000030
634.5,-0.000013,0.000124,94.627510,0.000008,-0.000068
634.0,-0.000148,0.000220,94.693687,-0.000067,0.000004
633.5,-0.000126,0.000111,94.760330,0.000011,-0.000013
633.0,-0.000037,0.000140,94.825272,0.000025,-0.000066
632.5,-0.000052,0.000132,94.893837,-0.000095,-0.000112
632.0,-0.000088,0.000111,94.957443,-0.000006,-0.000085
631.5,-0.000021,0.000260,94.999855,-0.000068,-0.000069
631.0,0.000042,0.000246,95.041359,0.000019,-0.000003
630.5,-0.000045,0.000305,95.074104,-0.000039,0.000004
630.0,-0.000072,0.000142,95.105103,0.000029,-0.000132
629.5,-0.000060,0.000218,95.127602,-0.000097,-0.000084
629.0,0.000051,0.000288,95.149727,0.000091,-0.000065
628.5,-0.000124,0.000263,95.164513,-0.000002,-0.000037
628.0,-0.000061,0.000162,95.161369,0.000006,0.000027
627.5,0.000017,0.000305,95.169662,0.000014,-0.000095
627.0,-0.000010,0.000238,95.175133,0.000007,-0.000011
626.5,-0.000060,0.000353,95.171089,-0.000052,0.000010
626.0,-0.000035,0.000263,95.160019,-0.000090,-0.000045
625.5,0.000031,0.000204,95.134476,-0.000011,0.000042
625.0,-0.000025,0.000181,95.111397,-0.000023,-0.000044
624.5,-0.000088,0.000313,95.076782,-0.000027,0.000025
624.0,0.000020,0.000216,95.039909,-0.000058,0.000006
623.5,-0.000076,0.000295,95.009827,-0.000034,-0.000017
623.0,0.000033,0.000327,94.972824,-0.000056,-0.000005
622.5,-0.000008,0.000240,94.929359,-0.000054,-0.000082
622.0,-0.000066,0.000311,94.897697,-0.000174,-0.000053
621.5,0.000057,0.000407,94.854126,0.000033,-0.000053
621.0,-0.000040,0.000262,94.824501,0.000066,-0.000083
620.5,0.000007,0.000372,94.782845,0.000007,-0.000176
620.0,-0.000026,0.000260,94.739029,0.000026,-0.000042
619.5,-0.000012,0.000299,94.694122,-0.000032,-0.000028
619.0,-0.000077,0.000365,94.639038,-0.000010,0.000029
618.5,-0.000107,0.000370,94.590462,-0.000055,-0.000074
618.0,0.000083,0.000319,94.552490,0.000047,-0.000092
617.5,-0.000078,0.000417,94.512894,0.000008,-0.000090
617.0,-0.000031,0.000401,94.470360,-0.000036,-0.000056
616.5,-0.000018,0.000411,94.436455,0.000081,0.000063
616.0,-0.000101,0.000404,94.413551,0.000025,0.000005
615.5,-0.000092,0.000345,94.391052,-0.000113,-0.000002
615.0,0.000027,0.000399,94.367134,0.000004,0.000002
614.5,-0.000003,0.000457,94.350639,0.000061,0.000057
614.0,0.000070,0.000481,94.321136,0.000109,0.000006
613.5,-0.000018,0.000480,94.293030,-0.000038,-0.000027
613.0,-0.000049,0.000453,94.271454,-0.000107,-0.000011
612.5,-0.000083,0.000532,94.241592,-0.000060,-0.000107
612.0,-0.000003,0.000622,94.225952,0.000093,0.000000
611.5,0.000017,0.000498,94.213280,-0.000027,-0.000083
611.0,0.000029,0.000503,94.198593,0.000030,-0.000034
610.5,-0.000035,0.000474,94.188026,-0.000072,-0.000051
610.0,0.000010,0.000550,94.183174,0.000008,0.000054
609.5,-0.000066,0.000517,94.187622,-0.000014,-0.000099
609.0,0.000003,0.000607,94.188728,-0.000046,-0.000079
608.5,0.000093,0.000575,94.181366,-0.000058,-0.000043
608.0,-0.000081,0.000623,94.178329,-0.000048,-0.000004
607.5,-0.000030,0.000622,94.161812,-0.000013,-0.000106
607.0,-0.000016,0.000689,94.147888,-0.000070,-0.000110
606.5,-0.000143,0.000633,94.134460,0.000004,0.000079
606.0,-0.000019,0.000725,94.129044,0.000015,0.000063
605.5,0.000023,0.000706,94.102844,-0.000078,-0.000065
605.0,-0.000091,0.000770,94.096024,-0.000078,0.000092
604.5,-0.000064,0.000840,94.074783,-0.000036,0.000061
604.0,-0.000083,0.000822,94.057823,-0.000012,-0.000056
603.5,-0.000080,0.000842,94.038490,0.000021,0.000013
603.0,-0.000111,0.000862,94.016296,-0.000061,0.000053
602.5,-0.000130,0.000866,93.983116,0.000045,0.000014
602.0,-0.000051,0.001034,93.943390,0.000076,-0.000028
601.5,-0.000013,0.001047,93.906258,-0.000017,-0.000024
601.0,-0.000046,0.001032,93.841095,0.000026,-0.000073
600.5,0.000012,0.001145,93.809174,0.000032,-0.000098
600.0,0.000012,0.001135,93.766090,-0.000043,0.000012
599.5,-0.000040,0.001129,93.712387,-0.000019,0.000056
599.0,-0.000055,0.001195,93.628120,0.000102,-0.000117
598.5,0.000098,0.001343,93.584816,-0.000033,0.000023
598.0,0.000060,0.001346,93.519661,-0.000003,0.000088
597.5,-0.000037,0.001384,93.445801,-0.000077,-0.000109
597.0,-0.000040,0.001451,93.375786,0.000053,0.000053
596.5,0.000064,0.001553,93.294456,-0.000053,-0.000030
596.0,-0.000040,0.001515,93.210747,-0.000104,-0.000029
595.5,0.000026,0.001612,93.126022,-0.000129,-0.000036
595.0,-0.000025,0.001701,93.023643,-0.000048,-0.000016
594.5,-0.000073,0.001795,92.930573,-0.000180,-0.000090
594.0,-0.000029,0.001835,92.842293,-0.000006,-0.000150
593.5,-0.000133,0.001940,92.750153,-0.000102,0.000007
593.0,0.000025,0.002112,92.652313,0.000012,-0.000032
592.5,-0.000065,0.002140,92.535889,-0.000152,-0.000064
592.0,-0.000083,0.002297,92.428604,0.000010,-0.000007
591.5,0.000052,0.002528,92.310646,0.000011,-0.000086
591.0,-0.000128,0.002531,92.189407,-0.000079,-0.000047
590.5,-0.000101,0.002538,92.075371,-0.000041,-0.000018
590.0,-0.000020,0.002800,91.963020,0.000057,-0.000035
589.5,-0.000094,0.002991,91.840103,-0.000056,-0.000007
589.0,0.000004,0.003287,91.728378,-0.000101,-0.000011
588.5,-0.000067,0.003372,91.604584,0.000007,0.000014
588.0,-0.000118,0.003570,91.484795,0.000064,0.000023
587.5,0.000033,0.003666,91.359596,0.000022,-0.000069
587.0,-0.000188,0.003972,91.225090,-0.000069,-0.000048
586.5,0.000049,0.004265,91.090096,0.000055,-0.000031
586.0,-0.000038,0.004558,90.944954,-0.000059,0.000095
585.5,-0.000006,0.004721,90.798515,0.000014,0.000040
585.0,-0.000047,0.005175,90.651787,0.000010,-0.000069
584.5,-0.000061,0.005398,90.501595,-0.000134,0.000011
584.0,-0.000035,0.005667,90.356926,-0.000079,-0.000138
583.5,0.000063,0.006257,90.169212,-0.000058,0.000063
583.0,-0.000102,0.006626,90.023384,0.000073,0.000038
582.5,0.000105,0.007103,89.852875,0.000065,0.000103
582.0,-0.000045,0.007598,89.669212,0.000014,-0.000083
581.5,-0.000132,0.008099,89.484581,-0.000212,-0.000099
581.0,-0.000001,0.008679,89.268669,-0.000111,-0.000125
580.5,-0.000011,0.009503,89.044212,-0.000082,0.000054
580.0,-0.000007,0.010171,88.807037,-0.000078,-0.000088
579.5,0.000045,0.010959,88.550911,0.000075,-0.000062
579.0,-0.000042,0.011872,88.290360,-0.000151,0.000012
578.5,0.000068,0.012802,88.017120,0.000004,-0.000024
578.0,-0.000116,0.013796,87.713394,-0.000095,-0.000093
577.5,-0.000070,0.014917,87.400162,-0.000039,-0.000152
577.0,-0.000001,0.016151,87.060440,0.000028,0.000024
576.5,0.000042,0.017598,86.697014,0.000072,0.000032
576.0,0.000013,0.019089,86.319008,0.000134,0.000054
575.5,-0.000035,0.020902,85.911613,0.000005,0.000100
575.0,-0.000073,0.022619,85.478035,-0.000047,0.000058
574.5,-0.000092,0.024808,85.010460,0.000002,0.000082
574.0,-0.000045,0.027022,84.525162,0.000038,0.000000
573.5,-0.000070,0.029628,84.008026,0.000003,-0.000063
573.0,-0.000054,0.032435,83.456718,0.000056,0.000028
572.5,-0.000051,0.035596,82.879028,-0.000010,-0.000125
572.0,-0.000055,0.039273,82.269348,0.000042,-0.000051
571.5,0.000094,0.043205,81.627312,-0.000034,-0.000047
571.0,-0.000129,0.047648,80.952789,0.000005,-0.000051
570.5,-0.000048,0.052664,80.259598,0.000044,-0.000010
570.0,-0.000015,0.058391,79.517281,-0.000076,0.000028
569.5,-0.000076,0.064378,78.765732,-0.000033,-0.000058
569.0,-0.000003,0.071936,77.952538,0.000053,-0.000046
568.5,-0.000027,0.079963,77.116501,-0.000008,-0.000067
568.0,-0.000061,0.089443,76.234406,0.000003,-0.000108
567.5,-0.000044,0.099732,75.326477,-0.000006,-0.000012
567.0,0.000025,0.112002,74.360344,-0.000005,-0.000007
566.5,0.000042,0.125942,73.356339,0.000063,0.000005
566.0,-0.000036,0.141978,72.837936,0.000029,0.000040
565.5,-0.000106,0.159625,72.319534,0.000059,0.000001
565.0,0.000040,0.180487,71.257469,-0.000010,-0.000038
564.5,-0.000005,0.204494,70.167061,0.000001,-0.000073
564.0,0.000021,0.232293,69.022125,-0.000008,0.000011
563.5,0.000042,0.264431,67.864418,-0.000042,-0.000001
563.0,0.000019,0.302172,66.627022,0.000001,0.000091
562.5,-0.000051,0.345855,65.355270,-0.000051,0.000068
562.0,-0.000060,0.396528,64.073601,0.000029,-0.000042
561.5,-0.000051,0.456449,62.712009,-0.000100,-0.000087
561.0,-0.000038,0.527322,61.300343,-0.000040,0.000031
560.5,0.000012,0.610194,59.870602,0.000057,-0.000063
560.0,-0.000013,0.710582,58.365017,0.000089,-0.000166
559.5,-0.000021,0.829618,56.828445,0.000020,-0.000029
559.0,-0.000014,0.967926,55.262272,0.000036,-0.000053
558.5,0.000071,1.137619,53.650074,-0.000006,-0.000107
558.0,0.000082,1.341486,51.981628,0.000049,-0.000059
557.5,0.000022,1.587272,50.285538,-0.000015,-0.000073
557.0,-0.000054,1.888543,48.555882,-0.000042,0.000021
556.5,0.000011,2.256524,46.748505,0.000097,0.000038
556.0,-0.000041,2.703093,44.910202,0.000033,-0.000039
555.5,-0.000030,3.249807,43.087883,0.000081,-0.000045
555.0,0.000101,3.928267,41.186951,-0.000060,-0.000010
554.5,-0.000007,4.763935,39.268082,-0.000012,0.000028
554.0,0.000012,5.790725,37.359871,-0.000013,0.000004
553.5,-0.000018,7.097889,35.414425,0.000004,0.000029
553.0,0.000015,8.701722,33.457813,-0.000005,0.000062
552.5,0.000059,10.654317,31.506044,0.000067,0.000097
552.0,-0.000019,13.102132,29.573771,-0.000079,-0.000041
551.5,-0.000027,16.113262,27.657282,-0.000006,-0.000010
551.0,-0.000039,19.712044,25.747534,-0.000023,0.000061
550.5,-0.000011,24.089209,23.883852,0.000012,-0.000021
550.0,0.000005,29.231203,22.023760,0.000033,0.000017
549.5,0.000073,35.031109,20.231024,-0.000001,0.000016
549.0,-0.000025,41.424534,18.523428,0.000051,0.000025
548.5,-0.000049,48.264675,16.837698,-0.000033,0.000001
548.0,-0.000032,55.294632,15.229464,0.000047,0.000030
547.5,0.000009,62.178905,13.724999,-0.000015,0.000005
547.0,0.000057,68.650940,12.268135,0.000092,0.000162
546.5,0.000033,74.260773,10.896548,-0.000087,0.000011
546.0,0.000097,78.854111,9.631128,-0.000028,0.000078
545.5,-0.000077,82.527039,8.456734,0.000093,-0.000052
545.0,0.000022,85.185173,7.365843,-0.000058,0.000033
544.5,-0.000029,86.975647,6.374110,-0.000153,-0.000020
544.0,-0.000021,88.097260,5.478160,0.000004,0.000040
543.5,-0.000015,88.711815,4.657092,-0.000012,0.000069
543.0,0.000054,88.974792,3.938063,0.000045,-0.000020
542.5,0.000005,89.042488,3.310417,-0.000065,0.000026
542.0,0.000009,88.997910,2.749206,0.000005,-0.000091
541.5,-0.000055,88.940125,2.265758,-0.000022,-0.000102
541.0,-0.000067,88.890404,1.854856,0.000038,-0.000035
540.5,-0.000047,88.871727,1.497760,0.000071,0.000012
540.0,0.000026,88.893417,1.198969,0.000089,0.000021
539.5,-0.000044,88.937782,0.953401,0.000018,-0.000072
539.0,-0.000019,89.010971,0.747717,0.000030,-0.000019
538.5,0.000014,89.091095,0.581519,-0.000054,0.000064
538.0,-0.000041,89.172951,0.446929,0.000065,0.000023
537.5,-0.000042,89.241867,0.339448,-0.000081,0.000067
537.0,-0.000009,89.310440,0.254581,-0.000011,0.000129
536.5,0.000066,89.359024,0.189686,0.000068,-0.000040
536.0,0.000080,89.371529,0.140104,0.000016,-0.000064
535.5,0.000012,89.371216,0.101484,0.000054,-0.000031
535.0,-0.000045,89.327492,0.073104,-0.000006,-0.000051
534.5,-0.000103,89.271812,0.052342,0.000008,0.000046
534.0,0.000002,89.169151,0.036895,0.000077,0.000011
533.5,0.000016,89.034729,0.025869,-0.000071,-0.000098
533.0,0.000011,88.855156,0.018138,-0.000136,0.000052
532.5,-0.000016,88.653816,0.012584,-0.000102,0.000063
532.0,0.000014,88.417282,0.008791,-0.000095,-0.000060
531.5,-0.000008,88.169991,0.006233,-0.000078,-0.000130
531.0,0.000115,87.923706,0.004462,0.000097,-0.000062
530.5,-0.000059,87.691444,0.003269,-0.000058,0.000008
530.0,-0.000063,87.482758,0.002646,0.000010,-0.000044
529.5,-0.000058,87.309082,0.002117,-0.000074,-0.000078
529.0,-0.000106,87.178329,0.001672,-0.000002,0.000034
528.5,0.000015,87.086914,0.001655,-0.000016,-0.000058
528.0,0.000028,87.035843,0.001347,-0.000046,-0.000053
527.5,-0.000001,86.993584,0.001349,-0.000041,0.000008
527.0,0.000014,86.979744,0.001253,-0.000043,-0.000054
526.5,-0.000015,86.988190,0.001281,-0.000008,-0.000021
526.0,0.000043,87.009422,0.001251,0.000068,0.000027
525.5,-0.000036,87.037972,0.001341,0.000024,-0.000086
525.0,-0.000133,87.095497,0.001302,0.000061,0.000040
524.5,0.000105,87.178047,0.001356,0.000035,0.000039
524.0,0.000028,87.311188,0.001334,0.000075,-0.000021
523.5,-0.000112,87.468079,0.001243,-0.000064,0.000036
523.0,-0.000002,87.668900,0.001309,0.000000,-0.000025
522.5,0.000008,87.896255,0.001264,-0.000065,-0.000086
522.0,0.000067,88.146767,0.001302,-0.000011,-0.000021
521.5,-0.000010,88.399902,0.001279,0.000070,0.000076
521.0,0.000052,88.660034,0.001290,-0.000030,0.000061
520.5,0.000047,88.904320,0.001353,0.000035,0.000029
520.0,0.000075,89.143822,0.001295,0.000073,0.000002
519.5,0.000071,89.405525,0.001366,0.000133,-0.000001
519.0,0.000094,89.615990,0.001258,-0.000070,-0.000039
518.5,-0.000037,89.855873,0.001399,0.000005,-0.000049
518.0,0.000107,90.118637,0.001247,0.000088,0.000082
517.5,0.000045,90.385941,0.001275,-0.000019,-0.000020
517.0,0.000059,90.662865,0.001280,0.000005,-0.000029
516.5,0.000012,90.956573,0.001458,-0.000054,-0.000078
516.0,-0.000007,91.237717,0.001458,0.000023,0.000083
515.5,0.000015,91.506805,0.001348,-0.000019,-0.000113
515.0,-0.000090,91.764557,0.001305,0.000043,-0.000049
514.5,-0.000076,91.997795,0.001486,0.000068,-0.000061
514.0,0.000124,92.206604,0.001474,0.000082,0.000044
513.5,-0.000047,92.399826,0.001392,-0.000083,-0.000063
513.0,-0.000045,92.587868,0.001332,-0.000062,0.000007
512.5,-0.000047,92.761848,0.001233,-0.000038,-0.000014
512.0,0.000005,92.921814,0.001380,0.000036,-0.000003
511.5,0.000014,93.059242,0.001320,0.000042,0.000035
511.0,0.000002,93.179558,0.001480,0.000061,0.000027
510.5,0.000022,93.297920,0.001419,-0.000003,-0.000037
510.0,0.000035,93.388191,0.001345,-0.000026,0.000041
509.5,-0.000023,93.449707,0.001386,0.000006,-0.000005
509.0,0.000031,93.502632,0.001402,0.000065,-0.000056
508.5,0.000095,93.524033,0.001369,-0.000041,-0.000083
508.0,0.000062,93.527130,0.001443,-0.000014,0.000023
507.5,-0.000014,93.491493,0.001496,-0.000076,0.000004
507.0,0.000102,93.438095,0.001555,0.000013,-0.000080
506.5,0.000057,93.361145,0.001502,0.000041,0.000018
506.0,0.000029,93.280144,0.001381,0.000007,-0.000056
505.5,0.000060,93.172134,0.001474,-0.000027,-0.000070
505.0,0.000063,93.078552,0.001506,-0.000054,0.000024
504.5,0.000094,92.991325,0.001485,-0.000072,0.000021
504.0,0.000038,92.915192,0.001500,-0.000067,-0.000006
503.5,0.000112,92.844261,0.001538,-0.000068,-0.000110
503.0,0.000074,92.775337,0.001487,-0.000086,-0.000133
502.5,0.000151,92.707985,0.001440,-0.000004,-0.000010
502.0,0.000045,92.639587,0.001544,-0.000180,0.000090
501.5,0.000048,92.569176,0.001483,-0.000011,0.000033
501.0,-0.000024,92.511093,0.001548,0.000013,-0.000050
500.5,0.000033,92.466667,0.001526,-0.000080,-0.000158
500.0,0.000067,92.445854,0.001513,0.000027,-0.000059
499.5,0.000011,92.452133,0.001607,0.000014,-0.000134
499.0,-0.000005,92.485863,0.001627,0.000091,-0.000026
498.5,0.000093,92.550369,0.001588,0.000044,0.000085
498.0,0.000060,92.622986,0.001520,0.000026,-0.000049
497.5,0.000009,92.710701,0.001596,-0.000016,-0.000007
497.0,0.000014,92.796921,0.001559,0.000043,-0.000051
496.5,0.000032,92.892380,0.001695,0.000017,-0.000029
496.0,0.000069,92.969696,0.001533,-0.000061,-0.000086
495.5,0.000121,93.059029,0.001532,0.000084,0.000050
495.0,0.000002,93.147705,0.001490,0.000063,-0.000010
494.5,0.000124,93.243881,0.001389,-0.000018,-0.000039
494.0,0.000066,93.324036,0.001507,0.000081,-0.000047
493.5,0.000020,93.400314,0.001420,-0.000002,-0.000085
493.0,-0.000017,93.461914,0.001383,-0.000086,-0.000058
492.5,0.000144,93.511253,0.001495,0.000062,0.000029
492.0,0.000149,93.533760,0.001483,0.000005,0.000066
491.5,0.000057,93.537064,0.001582,-0.000037,0.000035
491.0,-0.000003,93.519417,0.001525,-0.000010,0.000023
490.5,0.000008,93.486763,0.001425,0.000175,-0.000005
490.0,0.000133,93.407906,0.001531,-0.000075,-0.000008
489.5,0.000182,93.311134,0.001525,-0.000081,0.000033
489.0,-0.000026,93.182144,0.001395,-0.000032,-0.000073
488.5,0.000206,93.035416,0.001505,0.000022,-0.000088
488.0,0.000160,92.871941,0.001379,0.000003,-0.000014
487.5,0.000030,92.698021,0.001380,-0.000016,-0.000007
487.0,-0.000012,92.528679,0.001415,-0.000120,-0.000060
486.5,0.000027,92.355927,0.001314,-0.000060,-0.000040
486.0,0.000107,92.189293,0.001464,0.000094,-0.000057
485.5,0.000111,92.014946,0.001304,0.000146,0.000060
485.0,0.000032,91.828850,0.001437,0.000109,0.000003
484.5,0.000039,91.650169,0.001463,0.000062,-0.000043
484.0,-0.000045,91.458519,0.001421,-0.000134,-0.000085
483.5,-0.000089,91.275169,0.001444,0.000007,0.000002
483.0,0.000006,91.125641,0.001354,0.000028,-0.000014
482.5,-0.000039,91.003403,0.001380,0.000051,0.000055
482.0,0.000052,90.910614,0.001364,0.000051,0.000099
481.5,0.000031,90.832214,0.001381,0.000040,0.000029
481.0,-0.000018,90.775795,0.001388,0.000090,0.000034
480.5,0.000026,90.742317,0.001381,0.000005,-0.000005
480.0,-0.000063,90.705772,0.001391,0.000044,0.000021
479.5,-0.000007,90.686699,0.001369,0.000044,0.000012
479.0,0.000013,90.669350,0.001303,-0.000009,0.000012
478.5,0.000114,90.674339,0.001294,0.000038,0.000010
478.0,0.000014,90.701614,0.001522,0.000094,0.000005
477.5,0.000080,90.740273,0.001389,-0.000025,0.000034
477.0,0.000088,90.794006,0.001270,-0.000037,0.000000
476.5,0.000039,90.847183,0.001282,-0.000045,-0.000155
476.0,0.000118,90.897491,0.001380,-0.000013,0.000001
475.5,-0.000013,90.946571,0.001312,-0.000039,-0.000094
475.0,0.000007,90.990601,0.001275,0.000062,0.000078
474.5,-0.000002,91.038376,0.001398,-0.000029,0.000038
474.0,-0.000015,91.085175,0.001352,0.000014,0.000039
473.5,-0.000003,91.130836,0.001242,0.000072,0.000002
473.0,-0.000022,91.168098,0.001268,0.000017,-0.000050
472.5,-0.000020,91.189232,0.001267,0.000020,0.000021
472.0,-0.000006,91.203133,0.001315,0.000002,-0.000018
